OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,FRPMcount,FRPMpct,DistrctAreaSqMi,Shape__Area,Shape__Length,Longitude,Latitutde,cds_code,recode_vaccine_mandates
1,2020-21,601770,161119,1.61E+12,Alameda,Alameda Unified,Unified,PK,12,KG,12,,13,9,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,10927,1856,9071,715,6.5,29,0.3,2768,25.3,605,5.5,1989,18.2,61,0.6,3021,27.6,1437,13.2,302,2.8,1316,12,16,0.1,77,0.7,0,0,1275,11.7,3202,29.3,3101,28.4,11.45557013,47554894.25,56522.98268,-122.239227,37.73263347,1.61E+12,"[""No independent mandates""]"
1,2020-21,601770,161119,1.61E+12,Alameda,Alameda Unified,Unified,PK,12,KG,12,,13,9,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,10927,1856,9071,715,6.5,29,0.3,2768,25.3,605,5.5,1989,18.2,61,0.6,3021,27.6,1437,13.2,302,2.8,1316,12,16,0.1,77,0.7,0,0,1275,11.7,3202,29.3,3101,28.4,11.45557013,47554894.25,56522.98268,-122.2496541,37.78250237,1.61E+12,"[""No independent mandates""]"
1,2020-21,601770,161119,1.61E+12,Alameda,Alameda Unified,Unified,PK,12,KG,12,,13,9,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,10927,1856,9071,715,6.5,29,0.3,2768,25.3,605,5.5,1989,18.2,61,0.6,3021,27.6,1437,13.2,302,2.8,1316,12,16,0.1,77,0.7,0,0,1275,11.7,3202,29.3,3101,28.4,11.45557013,47554894.25,56522.98268,-122.2764592,37.77474157,1.61E+12,"[""No independent mandates""]"
2,2020-21,601860,161127,1.61E+12,Alameda,Albany City Unified,Unified,KG,12,KG,12,,13,9,15,"21 - Suburban, Large",,3501,0,3501,118,3.4,7,0.2,1010,28.8,39,1.1,577,16.5,3,0.1,1007,28.8,489,14,251,7.2,400,11.4,2,0.1,3,0.1,0,0,311,8.9,608,17.4,587,16.8,1.703654331,7096327.465,12696.3828,-122.2989059,37.88982678,1.61E+12,"[""No independent mandates""]"
3,2020-21,604740,161143,1.61E+12,Alameda,Berkeley Unified,Unified,PK,12,KG,12,,13,9,15,"12 - City, Midsize ",,9409,0,9409,1193,12.7,26,0.3,781,8.3,79,0.8,2084,22.1,13,0.1,3889,41.3,1331,14.1,13,0.1,635,6.7,16,0.2,199,2.1,0,0,1091,11.6,2563,27.2,2431,25.8,10.48336218,43646483.95,43695.34154,-122.274747,37.87239977,1.61E+12,"[""No independent mandates""]"
4,2020-21,607800,161150,1.61E+12,Alameda,Castro Valley Unified,Unified,PK,12,KG,12,,"13,15","07,09,10","18,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,9203,0,9203,451,4.9,10,0.1,2711,29.5,425,4.6,2150,23.4,36,0.4,2237,24.3,924,10,259,2.8,996,10.8,17,0.2,92,1,0,0,850,9.2,2067,22.5,1977,21.5,68.44260356,283828532.9,142492.7676,-122.0091044,37.64003218,1.61E+12,"[""No independent mandates""]"
4,2020-21,607800,161150,1.61E+12,Alameda,Castro Valley Unified,Unified,PK,12,KG,12,,"13,15","07,09,10","18,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,9203,0,9203,451,4.9,10,0.1,2711,29.5,425,4.6,2150,23.4,36,0.4,2237,24.3,924,10,259,2.8,996,10.8,17,0.2,92,1,0,0,850,9.2,2067,22.5,1977,21.5,68.44260356,283828532.9,142492.7676,-122.0443713,37.72526789,1.61E+12,"[""No independent mandates""]"
5,2020-21,612630,161168,1.61E+12,Alameda,Emery Unified,Unified,PK,12,KG,12,,13,9,15,"21 - Suburban, Large",,698,0,698,315,45.1,2,0.3,77,11,6,0.9,169,24.2,8,1.1,60,8.6,56,8,5,0.7,140,20.1,0,0,1,0.1,0,0,69,9.9,561,80.4,555,79.5,1.289415556,5363392.457,13741.27289,-122.2906872,37.83790294,1.61E+12,"[""No independent mandates""]"
6,2020-21,614400,161176,1.61E+12,Alameda,Fremont Unified,Unified,PK,12,KG,12,,"15,17",10,"20,25","21 - Suburban, Large",,35187,405,34782,622,1.8,101,0.3,23136,65.8,1652,4.7,4985,14.2,197,0.6,3170,9,1050,3,274,0.8,3942,11.2,25,0.1,178,0.5,63,0.2,3327,9.5,6965,19.8,6666,18.9,77.8192883,321018983.8,163452.2736,-121.9766217,37.46531662,1.61E+12,"[""No independent mandates""]"
6,2020-21,614400,161176,1.61E+12,Alameda,Fremont Unified,Unified,PK,12,KG,12,,"15,17",10,"20,25","21 - Suburban, Large",,35187,405,34782,622,1.8,101,0.3,23136,65.8,1652,4.7,4985,14.2,197,0.6,3170,9,1050,3,274,0.8,3942,11.2,25,0.1,178,0.5,63,0.2,3327,9.5,6965,19.8,6666,18.9,77.8192883,321018983.8,163452.2736,-121.9828693,37.52794564,1.61E+12,"[""No independent mandates""]"
7,2020-21,616740,161192,1.61E+12,Alameda,Hayward Unified,Unified,PK,12,KG,12,,15,10,20,"12 - City, Midsize ",SY 2018-19 Boundary Adjustment/Correction,21638,2569,19069,1679,7.8,40,0.2,1811,8.4,1522,7,13998,64.7,688,3.2,965,4.5,859,4,76,0.4,6224,28.8,58,0.3,545,2.5,350,1.6,2517,11.6,13685,63.2,12757,59,34.31159168,141981818.5,82372.31006,-122.078187,37.64420635,1.61E+12,"[""No independent mandates""]"
8,2020-21,622110,161200,1.61E+12,Alameda,Livermore Valley Joint Unified,Unified,PK,12,KG,12,,"11,15",7,"14,16,20","23 - Suburban, Small",SY 2018-19 Boundary Adjustment/Correction,13305,0,13305,156,1.2,56,0.4,1369,10.3,392,2.9,4255,32,39,0.3,5867,44.1,1145,8.6,26,0.2,1367,10.3,12,0.1,101,0.8,168,1.3,1946,14.6,3280,24.7,3034,22.8,266.757604,1103915430,206081.1138,-121.6848605,37.64637612,1.61E+12,"[""No independent mandates""]"
10,2020-21,627060,161234,1.61E+12,Alameda,Newark Unified,Unified,PK,12,KG,12,,17,10,25,"21 - Suburban, Large",,5507,0,5507,157,2.9,14,0.3,917,16.7,498,9,2867,52.1,98,1.8,580,10.5,286,5.2,90,1.6,1062,19.3,17,0.3,251,4.6,61,1.1,716,13,3025,54.9,2958,53.7,14.09841883,58146582.99,39693.10486,-122.0307867,37.51990829,1.61E+12,"[""No independent mandates""]"
11,2020-21,626910,161242,1.61E+12,Alameda,New Haven Unified,Unified,KG,12,KG,12,,15,10,20,"21 - Suburban, Large",,10812,0,10812,496,4.6,63,0.6,2797,25.9,2075,19.2,4028,37.3,174,1.6,639,5.9,537,5,3,0,2013,18.6,8,0.1,144,1.3,124,1.1,1143,10.6,4474,41.4,4217,39,28.19472824,116528920.9,89708.40214,-122.0448343,37.59881912,1.61E+12,"[""No independent mandates""]"
12,2020-21,628050,161259,1.61E+12,Alameda,Oakland Unified,Unified,PK,12,KG,12,,13,9,"15,18","11 - City, Large",SY 2018-19 Boundary Adjustment/Correction,48704,13215,35489,10551,21.7,111,0.2,5620,11.5,402,0.8,23264,47.8,412,0.8,4790,9.8,2482,5.1,1072,2.2,14600,30,201,0.4,897,1.8,12,0,6883,14.1,35727,73.4,35303,72.5,53.6158357,222757863,142807.1172,-122.2150875,37.79454662,1.61E+12,"[""No independent mandates""]"
13,2020-21,630330,161275,1.61E+12,Alameda,Piedmont City Unified,Unified,PK,12,KG,12,,13,9,15,"21 - Suburban, Large",,2464,0,2464,38,1.5,0,0,328,13.3,20,0.8,237,9.6,0,0,1389,56.4,450,18.3,2,0.1,22,0.9,0,0,3,0.1,0,0,307,12.5,58,2.4,56,2.3,1.700189943,7069097.641,13206.74335,-122.2300392,37.82257288,1.61E+12,"[""No independent mandates""]"
14,2020-21,634680,161291,1.61E+12,Alameda,San Leandro Unified,Unified,KG,12,KG,12,,"13,15","09,10","18,20","13 - City, Small",SY 2018-19 Boundary Adjustment/Correction,8828,0,8828,1035,11.7,22,0.2,1501,17,582,6.6,4287,48.6,92,1,706,8,471,5.3,132,1.5,2198,24.9,21,0.2,99,1.1,0,0,1209,13.7,5575,63.2,5343,60.5,13.70626692,56818832.72,65375.0855,-122.1657214,37.71146647,1.61E+12,"[""No independent mandates""]"
15,2020-21,634710,161309,1.61E+12,Alameda,San Lorenzo Unified,Unified,PK,12,KG,12,,"13,15","09,10","18,20","21 - Suburban, Large",,10528,1097,9431,862,8.2,34,0.3,1692,16.1,703,6.7,5964,56.6,170,1.6,704,6.7,330,3.1,69,0.7,2788,26.5,33,0.3,178,1.7,77,0.7,1191,11.3,6661,63.3,6352,60.3,10.92437893,45247007.21,48415.82069,-122.1313099,37.67879169,1.61E+12,couldn't be reached
16,2020-21,600019,175093,1.75E+12,Alameda,Dublin Unified,Unified,PK,12,KG,12,,15,"07,10","16,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,12625,0,12625,362,2.9,9,0.1,7328,58,627,5,1177,9.3,52,0.4,2140,17,921,7.3,9,0.1,913,7.2,5,0,17,0.1,0,0,913,7.2,924,7.3,875,6.9,16.81959831,69734312,51820.51817,-121.9008837,37.71650265,1.75E+12,"["" Other partial mandates""]"
17,2020-21,600020,175101,1.75E+12,Alameda,Pleasanton Unified,Unified,PK,12,KG,12,,15,"07,10","16,20","13 - City, Small",,14469,0,14469,205,1.4,19,0.1,6871,47.5,263,1.8,1443,10,31,0.2,4768,33,789,5.5,80,0.6,1497,10.3,11,0.1,40,0.3,0,0,1219,8.4,1265,8.7,1226,8.5,40.34936408,167046790.1,71218.11874,-121.8874866,37.66216803,1.75E+12,"[""No independent mandates""]"
18,2020-21,600021,175119,1.75E+12,Alameda,Sunol Glen Unified,Unified,KG,8,KG,12,,"15,17",7,20,"41 - Rural, Fringe",SY 2018-19 Boundary Adjustment/Correction,273,0,273,3,1.1,0,0,74,27.1,3,1.1,41,15,2,0.7,120,44,30,11,0,0,13,4.8,0,0,0,0,0,0,7,2.6,27,9.9,25,9.2,85.57933645,353288125.4,94567.61428,-121.8220754,37.55511833,1.75E+12,"[""No independent mandates""]"
